# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
cloud.txt
ground.txt
brick.txt
mushroom.txt
goomba.txt

[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# 4 = Coin, 5 = Platform, 6 = Decor, 7 = Obstable, 8 = Onside
# See OBJECT_TYPE constants in AssetIDs.h

#Decor x y spriteId
#6	100	164	60001
#6	116	164	60001
#6	132	164	60001

#COIN
4	100	1200


#Platform 
# type	x	y	width	height cells spriteStart spriteMid SpriteEnd
# 5	0	180	16	15	32	70004	70005	70006
# 5	0	196	16	15	32	70007	70008	70009

# 5	512	164	16	15	32	70004	70005	70006
# 5	512	180	16	15	32	70007	70008	70009
# 5	512	196	16	15	32	70007	70008	70009

#Bricks
# code = 1-10 => has coin, code = 100 => has mushroom
#   x  y code


1	704	116	1
1	656	148	1
1	1472	132	1
1	2688	116	1


#################################################################
# Part 1

# Platform
5	0	180	 16	15	40	70004	70005	70006
5	0	196	 16	15	40	70007	70008	70009

#Decor x y spriteId
6	160	164	60001
6	176	164	60001
6	192	164	60001

# Brick
1	176	116	1
1	192	116	1
1	224	68	1
1	240	68	100
1	432	84	1

# Decor cloud
#1
6	117	36	60010
6	132	36	60011
6	148	36	60011
6	164	36	60012
6	117	52	60013
6	132	52	60014
6	148	52	60014
6	164	52	60015

#2
6	320	28	60010
6	336	28	60011
6	352	28	60012
6	320	44	60013
6	336	44	60014
6	352	44	60015


#Pipe
5	360	132	16	15	2	70012	70012	70013
5	360	148	16	15	2	70014	70014	70015
5	360	164	16	15	2	70014	70014	70015



#Pink 70051 --> 70059
#1
8	240	132	70051
8	256	132	70052
8	272	132	70053

6	240	148	70054
6	256	148	70055
6	272	148	70056
6	240	164	70057
6	256	164	70058
6	272	164	70059

#Blue 70061 --> 70069
#1
8	272	100	70061
8	288	100	70062
8	304	100	70063

6	272	116	70064
6	288	116	70065
6	304	116	70066
6	288	132	70065
6	304	132	70066
6	288	148	70065
6	304	148	70066
6	288	164	70068
6	304	164	70069

#Green 70071 --> 70079
#1
8	416	132	70071
8	432	132	70072
8	448	132	70072
8	464	132	70072
8	480	132	70072
8	496	132	70073

6	416	148	70074
6	432	148	70075
6	448	148	70075
6	464	148	70075
6	480	148	70075
6	496	148	70076
6	416	164	70077
6	432	164	70078
6	448	164	70078
6	464	164	70078
6	480	164	70078
6	496	164	70079

#Pink #2
