# id	left	top	right	bottom	texture_id
[SPRITES]

#ground
# ground no border
70001	0	68	15	83	30
70002	17	68	32	83	30
70003	34	68	49	83	30   

# ground border
70004	0	34	15	49	30
70005	17	34	32	49	30
70006	34	34	49	49	30

# ground border lower
70007	0	51	15	66	30
70008	17	51	32	66	30
70009	34	51	49	66	30

# ground brick block
70010	129	51	144	66	30

#ground wooden block
70011	170	102	185	117	30

#decor small tree
60001	85	85	100	100	30

#decor bush
60100	51	68	66	83	30
60101	68	68	83	83	30
60102	51	85	66	100	30
60103	69	85	83	100	30

#bush mid
60110	86	68	100	83	30

#bush in bush
60120	51	102	66	117	30
60121	68	102	83	117	30

#bush black
60300	119	68	134	83	30
60301	136	68	151	83	30
60302	119	85	134	100	30
60303	136	85	151	100	30

#black
63000	197	51	212	66	30

#shade
60200	221	101	236	116	30
60201	221	118	236	133	30
60202	221	136	236	151	30

#decor cloud 
60010	136	0	151	15	30
60011	153	0	168	15	30
60012	170	0	185	15	30
60013	136	17	151	32	30
60014	153	17	168	32	30
60015	170	17	185	32	30

#title scene
61002	0	0	254	181	40

#pipe 
70012	0	0	15	15	30
70013	17	0	32	15	30
70014	0	17	15	32	30
70015	17	17	32	32	30

# pink platform
70051	0	119	15	134	30
70052	17	119	32	134	30
70053	34	119	49	134	30

# pink decor
70054	0	136	15	151	30
70055	17	136	32	151	30
70056	34	136	49	151	30
70057	0	153	15	168	30
70058	17	153	32	168	30
70059	34	153	49	168	30

# blue platform
70061	51	119	66	134	30
70062	68	119	83	134	30
70063	85	119	100	134	30

# blue decor
70064	51	136	66	151	30
70065	68	136	83	151	30
70066	85	136	100	151	30
70067	51	153	66	168	30
70068	68	153	83	168	30
70069	85	153	100	168	30

# green platform
70071	102	119	117	134	30
70072	119	119	134	134	30
70073	136	119	151	134	30

# green decor
70074	102	136	117	151	30
70075	119	136	134	151	30
70076	136	136	151	151	30
70077	102	153	117	168	30
70078	119	153	134	168	30
70079	136	153	151	168	30


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
